5YJ3E1EA1K,Mason,Shelton,WA,98584,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,0,35,137134343,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960202
5YJ3E1EA1K,Mason,Shelton,WA,98584,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,0,35,144206898,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960500
5YJ3E1EA1K,Mason,Shelton,WA,98584,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,0,35,209496122,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045961000
5YJ3E1EA1L,Mason,Belfair,WA,98528,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),266,0,35,170567645,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960301
5YJ3E1EA3K,Mason,Belfair,WA,98528,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,0,35,211750647,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960401
5UXTS1C01L,Mason,Hoodsport,WA,98548,2020,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),17,0,35,211888029,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045960201
5UXTA6C08N,Mason,Shelton,WA,98584,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),30,0,35,186878366,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,53045961000
KNDCC3LG3K,Clallam,Sequim,WA,98382,2019,KIA,NIRO,Battery Electric Vehicle (BEV),239,0,24,213778274,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009002302
KNDCD3LD1K,Clallam,Sequim,WA,98382,2019,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,0,24,104846654,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009001800
KNDCD3LD3L,Clallam,Sequim,WA,98382,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),26,0,24,132814825,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,53009002302
